iter	Passed	Remaining
966	33061	1128
967	33089	1093
968	33113	1059
969	33140	1024
970	33162	990
971	33189	956
972	33225	921
973	33255	887
974	33284	853
975	33307	819
976	33333	784
977	33360	750
978	33386	716
979	33409	681
980	33434	647
981	33458	613
982	33484	579
983	33509	544
984	33533	510
985	33558	476
986	33585	442
987	33608	408
988	33634	374
989	33657	339
990	33685	305
991	33709	271
992	33735	237
993	33762	203
994	33789	169
995	33812	135
996	33837	101
997	33861	67
998	33886	33
999	33910	0
